               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.029885,             0.01157,            0.010465,             0.99171,             0.99825,               0.995,             0.71442,            0.014734,           0.0047491,           0.0012512,             0.00307,             0.00307,             0.00307
                  37,            0.027993,            0.010826,            0.008698,             0.98299,                   1,               0.995,               0.741,            0.014321,           0.0046327,           0.0012052,            0.002872,            0.002872,            0.002872
                  38,            0.026276,            0.011197,           0.0087829,             0.96207,             0.98637,             0.99351,             0.72101,            0.014417,           0.0046388,           0.0020299,            0.002674,            0.002674,            0.002674
                  39,            0.026197,            0.010441,            0.010172,             0.99503,             0.98152,               0.995,             0.72494,            0.014804,           0.0046547,           0.0014543,            0.002476,            0.002476,            0.002476
                  40,            0.028761,            0.011015,            0.010589,             0.96642,             0.97135,             0.99008,             0.71357,            0.014413,           0.0046821,           0.0020259,            0.002278,            0.002278,            0.002278
                  41,            0.029285,            0.010249,           0.0092799,             0.94391,             0.98247,             0.98989,             0.72835,            0.014263,            0.004534,           0.0018487,             0.00208,             0.00208,             0.00208
                  42,            0.027645,            0.010146,           0.0077758,             0.97998,             0.95252,             0.99024,             0.71554,            0.013906,           0.0046203,           0.0020333,            0.001882,            0.001882,            0.001882
                  43,            0.025766,            0.010516,           0.0064295,             0.98097,             0.97698,             0.98762,             0.73039,             0.01406,           0.0045698,            0.001985,            0.001684,            0.001684,            0.001684
                  44,            0.023416,           0.0098237,           0.0068024,             0.98479,             0.98889,             0.98971,             0.72379,            0.013984,           0.0045758,            0.001493,            0.001486,            0.001486,            0.001486
                  45,            0.025963,             0.01005,           0.0059768,             0.97483,             0.99464,               0.995,             0.72049,            0.014446,           0.0047201,          0.00093015,            0.001288,            0.001288,            0.001288
                  46,            0.024807,            0.009975,           0.0085087,             0.98104,             0.99665,               0.995,              0.7202,             0.01405,           0.0046806,           0.0008324,             0.00109,             0.00109,             0.00109
                  47,             0.02484,           0.0099547,           0.0066854,             0.96129,             0.99731,             0.99266,             0.72068,            0.013862,           0.0047213,            0.001102,            0.000892,            0.000892,            0.000892
                  48,            0.022989,           0.0096611,            0.006636,             0.98019,             0.97977,             0.99257,             0.72766,            0.013946,           0.0046287,           0.0011613,            0.000694,            0.000694,            0.000694
                  49,            0.024914,            0.010082,            0.006582,             0.98261,             0.98889,             0.99257,              0.7306,            0.013691,           0.0045916,           0.0010543,            0.000496,            0.000496,            0.000496
