               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.029337,            0.011623,            0.010581,             0.94689,             0.97916,             0.99352,             0.73197,             0.01502,           0.0048525,            0.002646,             0.00307,             0.00307,             0.00307
                  37,            0.028247,            0.010777,            0.009477,             0.97738,             0.97246,             0.99121,              0.7219,            0.015282,           0.0047293,           0.0021634,            0.002872,            0.002872,            0.002872
                  38,            0.026761,            0.011139,           0.0090001,             0.97219,             0.99498,               0.995,             0.74512,            0.015162,           0.0046448,           0.0015327,            0.002674,            0.002674,            0.002674
                  39,            0.026173,            0.010483,            0.010907,             0.94291,             0.96199,             0.98689,             0.66508,            0.015571,            0.005388,           0.0036544,            0.002476,            0.002476,            0.002476
                  40,            0.028579,             0.01096,           0.0098138,             0.95208,             0.98699,             0.99123,             0.72745,            0.014631,           0.0049882,           0.0022249,            0.002278,            0.002278,            0.002278
                  41,            0.028488,            0.010248,            0.011111,              0.9852,             0.98524,             0.99407,             0.75491,            0.013791,           0.0047607,           0.0014751,             0.00208,             0.00208,             0.00208
                  42,            0.026217,           0.0099872,           0.0078339,             0.97235,             0.98887,             0.99384,             0.73859,            0.014042,           0.0046801,            0.001426,            0.001882,            0.001882,            0.001882
                  43,             0.02575,            0.010488,           0.0078994,             0.97138,              0.9941,             0.99447,             0.73124,            0.013633,           0.0046633,           0.0012293,            0.001684,            0.001684,            0.001684
                  44,            0.023726,           0.0099495,           0.0069136,             0.98881,             0.99608,               0.995,             0.74593,            0.013896,           0.0046721,           0.0010176,            0.001486,            0.001486,            0.001486
                  45,            0.025798,            0.010119,            0.006891,             0.98327,                   1,               0.995,              0.7439,            0.014306,           0.0047752,           0.0011799,            0.001288,            0.001288,            0.001288
                  46,            0.024521,            0.010134,           0.0089003,             0.98669,                   1,               0.995,             0.73501,            0.013768,           0.0047545,           0.0010386,             0.00109,             0.00109,             0.00109
                  47,            0.024939,            0.010038,           0.0081797,             0.96617,             0.99742,               0.995,             0.73873,             0.01351,           0.0047403,           0.0011467,            0.000892,            0.000892,            0.000892
                  48,            0.022978,           0.0096021,           0.0074238,             0.96556,             0.98889,             0.99447,             0.74065,             0.01365,           0.0047044,            0.001096,            0.000694,            0.000694,            0.000694
                  49,             0.02511,            0.010366,           0.0068408,             0.96928,             0.98889,             0.99447,             0.74283,            0.013347,           0.0046776,            0.001121,            0.000496,            0.000496,            0.000496
